dd;temp;chuva;ur;doy;s_dif;yr;leap;acc_dif;dif_adj_lag10;dif_adj_lag3;acc_dif_adj_lag10;acc_dif_adj_lag3;diaFavInf;hcp
2004-07-27;16.225;0;65.1541666666667;209;0;2004;TRUE;21.3036503958126;0.0247106603515697;0.00105133448866299;7.50274117403604;12.6187771713395;0;0
2004-07-28;17.5875;0;62.0458333333333;210;0;2004;TRUE;21.3036503958126;0.0206408744827577;0.000579817789728701;7.5233820485188;12.6193569891292;0;0
2004-07-29;18.0875;0;61.6625;211;0;2004;TRUE;21.3036503958126;0.0170417949904941;0.00032017686220934;7.54042384350929;12.6196771659915;0;0
2004-07-30;15.95;0;77.7708333333333;212;0;2004;TRUE;21.3036503958126;0.0141863091052541;0.000176680513840452;7.55461015261455;12.6198538465053;0;0.58
2004-07-31;10.9708333333333;0;74.9125;213;0;2004;TRUE;21.3036503958126;0.011980174599912;9.75329388283363e-05;7.56659032721446;12.6199513794441;0;0.095
2004-08-01;14.05;0;58.2583333333333;214;0;2004;TRUE;21.3036503958126;0.0100672225558348;5.38299870138261e-05;7.57665754977029;12.6200052094311;0;0.288
2004-08-02;20.0833333333333;0;39.5541666666667;215;0;2004;TRUE;21.3036503958126;0.00842926210430887;2.97129865581792e-05;7.5850868118746;12.6200349224177;0;0.289
2004-08-03;23.2125;0;49.9541666666667;216;0;2004;TRUE;21.3036503958126;0.00704503841571241;1.63999111418492e-05;7.59213185029031;12.6200513223288;0;0
2004-08-04;23.9208333333333;0;47.6041666666667;217;0;2004;TRUE;21.3036503958126;0.00588985390792065;9.05214221182549e-06;7.59802170419823;12.620060374471;0;0
2004-08-05;22.0583333333333;0;57.1958333333333;218;0;2004;TRUE;21.3036503958126;0.0049346181711819;4.9963540765979e-06;7.60295632236942;12.6200653708251;0;0
2004-08-06;22.5291666666667;0;43.5166666666667;219;0;2004;TRUE;21.3036503958126;0.00413825782169521;2.75777888778706e-06;7.60709458019111;12.620068128604;0;0
2004-08-07;15.3541666666667;0;80.3541666666667;220;0;2004;TRUE;21.3036503958126;0.00346622391941878;1.52217040137975e-06;7.61056080411053;12.6200696507744;0;0
2004-08-08;10.7708333333333;0;62.4458333333333;221;0;2004;TRUE;21.3036503958126;0.00290179669985608;8.40172414976113e-07;7.61346260081039;12.6200704909468;0;0
2004-08-09;13.0708333333333;0.4;55.7791666666667;222;0;2004;TRUE;21.3036503958126;0.00242929855193522;4.63738170640653e-07;7.61589189936232;12.620070954685;0;0
2004-08-10;15.4291666666667;0;59.4708333333333;223;0;2004;TRUE;21.3036503958126;0.00203433830599944;2.55963278489515e-07;7.61792623766832;12.6200712106483;0;0
2004-08-11;17.8708333333333;0;56.225;224;0;2004;TRUE;21.3036503958126;0.00170404450540265;1.41280514729154e-07;7.61963028217372;12.6200713519288;0;0
2004-08-12;18.1208333333333;0;54.9625;225;0;2004;TRUE;21.3036503958126;0.00142730182775967;7.79806750972078e-08;7.62105758400148;12.6200714299095;0;0
2004-08-13;17.0666666666667;0;54.6041666666667;226;0;2004;TRUE;21.3036503958126;0.00119525873033745;4.3041921229161e-08;7.62225284273182;12.6200714729514;0;0
2004-08-14;17.675;0;51.5625;227;0;2004;TRUE;21.3036503958126;0.00100091091611471;2.37572594901582e-08;7.62325375364794;12.6200714967086;0;0
2004-08-15;19.4;0;49.0916666666667;228;0;2004;TRUE;21.3036503958126;0.00083820762360291;1.31129684107331e-08;7.62409196127154;12.6200715098216;0;0
2004-08-16;21.3208333333333;0;44.8083333333333;229;0;2004;TRUE;21.3036503958126;0.000701990768161072;7.23778535104296e-09;7.6247939520397;12.6200715170594;0;0
2004-08-17;22.9125;0;42.8041666666667;230;0;2004;TRUE;21.3036503958126;0.00058791705510728;3.99494107288292e-09;7.62538186909481;12.6200715210543;0;0.194
